Date,Portfolio_Value,Daily_Return,Drawdown
2025-01-02,100004.28775,4.287750000003143e-05,0.0
2025-01-03,100004.48775,1.9999142486476995e-06,0.0
2025-01-06,99995.03775,-9.44957592665344e-05,-9.44957592665344e-05
2025-01-07,99993.73775,-1.3000645124541796e-05,-0.00010749517588524421
2025-01-08,99995.23775,1.5000939396327347e-05,-9.249584901753572e-05
2025-01-09,99994.28775,-9.500452435266994e-06,-0.00010199542270038866
2025-01-10,99988.38775,-5.9003370420114135e-05,-0.00016099277504679605
2025-01-13,99976.28775,-0.00012101405245421882,-0.0002819873451128906
2025-01-14,99982.0989,5.8125282812314525e-05,-0.00022387845289476024
2025-01-15,100005.957,0.0002386237162700497,0.0
2025-01-16,100000.05704999999,-5.899598560920083e-05,-5.899598560920083e-05
2025-01-17,100023.5085,0.00023451436620963164,0.0
2025-01-20,100041.2052,0.00017692540749058428,0.0
2025-01-21,100015.69889999999,-0.0002549579440693123,-0.0002549579440693123
2025-01-22,99980.5962,-0.00035097190127207666,-0.0006058403622670145
2025-01-23,99951.94785,-0.0002865390994738149,-0.0008922058647890006
2025-01-24,99956.15264999999,4.206821468154356e-05,-0.0008501751836153171
2025-01-27,99865.65699999999,-0.0009053534735062366,-0.001754758948065979
2025-01-28,99825.76955,-0.0003994110808282643,-0.002153469158726203
2025-01-29,99869.68539999999,0.0004399249832779307,-0.0017144915403319145
2025-01-30,99978.59784999999,0.0010905456401888642,-0.0006258156314174999
2025-01-31,100035.30249999999,0.0005671678861217364,-5.9002687824536594e-05
2025-02-01,99852.30334999999,-0.0018293456952359723,-0.0018882404467475298
2025-02-03,99767.26724999999,-0.0008516188124567439,-0.0027382511981173816
2025-02-04,99814.18679999998,0.00047029001889386157,-0.0022692489514312187
2025-02-05,99813.9034,-2.839275748983052e-06,-0.0022720817841566858
2025-02-06,99738.02,-0.0007602487971629765,-0.003030603233876201
2025-02-07,99738.6908,6.725619778621993e-06,-0.00302389799678263
2025-02-10,99553.41154999999,-0.0018576467017351994,-0.004875927364377723
2025-02-11,99397.74154999999,-0.0015636832286939168,-0.0064319861872276325
2025-02-12,99299.57895,-0.0009875737463372579,-0.00741320787286958
2025-02-13,99343.02079999998,0.00043748272106835894,-0.00697896830215329
2025-02-14,99288.76074999999,-0.0005461888471182582,-0.00752134531462052
2025-02-17,99432.25295,0.0014452008355840809,-0.006087014333569845
2025-02-18,99516.48939999999,0.0008471743071370958,-0.0052449967885833245
2025-02-19,99433.87259999999,-0.000830182018056632,-0.00607082450462131
2025-02-20,99486.80884999999,0.0005323764288347635,-0.0055416800396564
2025-02-21,99386.4932,-0.0010083311663080805,-0.006544423357266787
2025-02-24,99302.231,-0.0008478234545456062,-0.007386698296193627
2025-02-25,99204.3216,-0.0009859738196617567,-0.008365389024721595
2025-02-27,99204.06534999999,-2.583052793194251e-06,-0.008367950469273303
2025-02-28,99078.40909999999,-0.0012666441597597292,-0.00962399541344197
2025-03-03,99110.45665,0.0003234564451641257,-0.009303651911622551
2025-03-04,99180.20324999999,0.0007037259473670136,-0.008606473185511018
2025-03-05,99532.74784999999,0.0035545863836490355,-0.00508247925425844
2025-03-06,99607.73264999999,0.000753368128779192,-0.004332940103364587
2025-03-07,99508.86529999999,-0.0009925670163319438,-0.005321206386266189
2025-03-10,99742.90084999998,0.0023519065290757164,-0.002981814837232892
2025-03-11,99640.22929999998,-0.001029361980903317,-0.004008107451308668
2025-03-12,99633.76094999997,-6.491705253442352e-05,-0.004072764309321112
2025-03-13,99624.49279999998,-9.302218356125366e-05,-0.004165407635453182
2025-03-17,99630.02494999998,5.553001922032464e-05,-0.004110108921398914
2025-03-18,99730.55689999998,0.0010090527433919323,-0.003105203494689759
2025-03-19,99881.48524999998,0.001513361147189202,-0.0015965416418235367
2025-03-20,99960.50799999999,0.0007911651473965616,-0.0008066396225303533
2025-03-21,100040.22769999999,0.0007975119534206597,-9.770973850764335e-06
2025-03-24,100231.94419999998,0.0019163940787391373,0.0
