Date,Portfolio_Value,Daily_Return,Drawdown
2025-01-02,100004.37217999999,4.3721799999912036e-05,0.0
2025-01-03,100003.90952999999,-4.626297729948949e-06,-4.626297729948949e-06
2025-01-06,99990.50392999998,-0.00013405075924547991,-0.00013867643681670565
2025-01-07,99990.06127999998,-4.426920383430749e-06,-0.00014310274329059158
2025-01-08,99998.07017999998,8.009696061265103e-05,-6.301724477273344e-05
2025-01-09,99998.62017999998,5.500106142177458e-06,-5.751748523209102e-05
2025-01-10,99993.42017999997,-5.200071751641686e-05,-0.00010951521179800607
2025-01-13,99992.97527999998,-4.4492927553314076e-06,-0.00011396401728809902
2025-01-14,99990.08622999999,-2.889252961928619e-05,-0.0001428532541986402
2025-01-15,99989.64962999999,-4.366432878121822e-06,-0.00014721906331761613
2025-01-16,99984.71227999999,-4.9378610868854545e-05,-0.00019659040471363062
2025-01-17,99984.27942999998,-4.329161830258632e-06,-0.00020091871547221299
2025-01-20,99981.33922999998,-2.940662288870862e-05,-0.00023031943002002443
2025-01-21,99980.90152999999,-4.377816934298607e-06,-0.000234696238658022
2025-01-22,99979.91397999998,-9.87738642973692e-06,-0.0002445713069023161
2025-01-23,99985.87697999997,5.964197969985916e-05,-0.00018494391391937838
2025-01-24,99986.83677999998,9.599355719042627e-06,-0.00017534633354275353
2025-01-27,99986.39517999998,-4.416581364377119e-06,-0.0001797621404757816
2025-01-28,99981.30507999998,-5.0907925931701327e-05,-0.00023066091508975028
2025-01-29,99980.86962999999,-4.355314222409046e-06,-0.00023501522471139526
2025-01-30,99983.28627999999,2.4171124025451316e-05,-0.00021084978126808832
2025-01-31,99982.85007999999,-4.3627291743031615e-06,-0.00021521159056189936
2025-02-01,99997.45258,0.00014605004746638195,-6.919297475853428e-05
2025-02-03,99996.99003,-4.625617833879365e-06,-7.381827253215562e-05
2025-02-04,99997.33567999999,3.4566040426285193e-06,-7.036192365006636e-05
2025-02-05,99990.33567999999,-7.000186507369154e-05,-0.0001403588632578722
2025-02-06,99983.28568,-7.050681400401074e-05,-0.0002108557810056174
2025-02-07,99982.84457999999,-4.411737392014459e-06,-0.0002152665881572985
2025-02-10,99978.76372999999,-4.081550207078999e-05,-0.00025607330401421376
2025-02-11,99969.86373,-8.901890429480888e-05,-0.0003450694129440802
2025-02-12,99961.46372999999,-8.402532209802315e-05,-0.0004290657404735345
2025-02-13,99961.26372999999,-2.0007710224942066e-06,-0.00043106565303372845
2025-02-14,99961.81373,5.502131320473157e-06,-0.00042556589349308603
2025-02-17,99960.16373,-1.6506303141426397e-05,-0.00044206517211486777
2025-02-18,99956.81373,-3.351335046883702e-05,-0.0004755637074986616
2025-02-19,99957.96372999999,1.1504968566730436e-05,-0.0004640642102774374
2025-02-20,99953.61373,-4.351829346725398e-05,-0.0005075623084622009
2025-02-21,99952.46372999999,-1.1505336896724636e-05,-0.0005190618056835707
2025-02-24,99953.46372999999,1.0004755887771654e-05,-0.0005090622428824555
2025-02-25,99956.41373,2.9513734591332926e-05,-0.00047956353261904947
2025-02-27,99953.16373,-3.251417171467182e-05,-0.0005120621117226736
2025-02-28,99946.56373,-6.60309264230412e-05,-0.0005780592262100917
2025-03-03,99951.06872999998,4.507408591014803e-05,-0.0005330111957911669
2025-03-04,99942.87127999999,-8.20146308003603e-05,-0.000614982111875092
2025-03-05,99983.27642999998,0.0004042824613952937,-0.0002109482769617012
2025-03-06,99984.82138,1.545208414021196e-05,-0.00019549945241201407
2025-03-07,99980.81567999999,-4.0063081022916775e-05,-0.00023555470112452892
2025-03-10,99981.51177999999,6.96233567676595e-06,-0.00022859400545866245
2025-03-11,99981.10677999999,-4.050748911358739e-06,-0.00023264382839310242
2025-03-12,99986.90057999999,5.7948948422307766e-05,-0.000174708361436007
2025-03-13,99986.55058,-3.5004585396787273e-06,-0.00017820820841630997
2025-03-17,99982.45057999999,-4.100551500399426e-05,-0.00021920641590094018
2025-03-18,99983.60058,1.150201853762896e-05,-0.00020770691867957048
2025-03-19,99977.55058,-6.050992327648889e-05,-0.0002682042736263461
2025-03-20,99977.14752999999,-4.0314050271272334e-06,-0.0002722345974134163
2025-03-21,99978.34357999999,1.1963233894423251e-05,-0.0002602746203251561
2025-03-24,99983.69357999998,5.351158869430901e-05,-0.0002067769593392775
2025-03-25,99982.59357999999,-1.1001793998649645e-05,-0.00021777647842041682
2025-03-26,99980.14357999999,-2.4504265315309596e-05,-0.00024227540728311977
2025-03-27,99982.24357999998,2.1004170676259686e-05,-0.0002212763254008653
2025-03-28,99982.54357999998,3.0005327872330433e-06,-0.00021827645656050167
2025-04-01,99979.44357999998,-3.100541243507561e-05,-0.0002492751012440168
2025-04-02,99981.84357999999,2.400493455525522e-05,-0.00022527615052125315
2025-04-03,99982.19357999998,3.5006355900130813e-06,-0.00022177630354095016
2025-04-04,99982.49357999998,3.0005342877666282e-06,-0.00021877643470058652
2025-04-07,99978.84357999999,-3.650639096207046e-05,-0.0002552748389245985
2025-04-08,99978.43752999998,-4.061359238268682e-06,-0.00025933516140004185
2025-04-09,99981.77497999999,3.3381697918662774e-05,-0.00022596212052939662
2025-04-11,99987.02497999999,5.250956987961248e-05,-0.0001734644158235422
2025-04-15,99986.60342999999,-4.216047032936886e-06,-0.00017767973152234344
2025-04-16,99990.23302999999,3.630086307053395e-05,-0.0001413853183794139
2025-04-17,99993.03302999999,2.800273501875757e-05,-0.00011338654253626246
2025-04-21,99992.60578,-4.272797684466481e-06,-0.00011765885574297254
2025-04-22,100002.93293000001,0.00010327913668669969,-1.439187076131752e-05
2025-04-23,100002.49933,-4.335872831924299e-06,-1.8727681191920385e-05
2025-04-24,100001.26848000001,-1.2308192377581873e-05,-3.1035643065599364e-05
2025-04-25,100000.83843,-4.300445449808976e-06,-3.5335955048318336e-05
2025-04-28,100001.41063000001,5.721952025533791e-06,-2.9614205213424105e-05
2025-04-29,99998.61063000001,-2.7999605029200677e-05,-5.761298105657555e-05
2025-04-30,99998.41063000001,-2.000027787756971e-06,-5.9612893616769474e-05
2025-05-02,99997.98483000002,-4.258067676422754e-06,-6.387070745745682e-05
2025-05-05,100004.25458000001,6.269876348659414e-05,-1.1759485852432748e-06
2025-05-06,100003.81763,-4.3693141040657934e-06,-5.545257551220329e-06
2025-05-07,99998.98208,-4.835365403643163e-05,-5.389864345418679e-05
2025-05-08,99998.43208000001,-5.500055986053478e-06,-5.9398402994683695e-05
2025-05-09,99991.38208000001,-7.05011054009609e-05,-0.00012989532074257442
2025-05-12,99990.95853,-4.235865043528745e-06,-0.0001341306355670547
2025-05-13,99982.92302999999,-8.03622659302923e-05,-0.00021448212245554218
2025-05-14,99982.49513,-4.279730848304385e-06,-0.00021876093537809066
2025-05-15,99985.61602999999,3.121446405129773e-05,-0.00018755329983214612
2025-05-16,99988.66603,3.0504387742010603e-05,-0.0001570546332887159
2025-05-19,99988.31603,-3.500396733828382e-06,-0.00016055448026901887
2025-05-20,99987.86602999999,-4.500525840205427e-06,-0.0001650542835296371
2025-05-21,99985.96603,-1.9002305734018867e-05,-0.00018405345285169762
2025-05-22,99979.06603,-6.900968479840349e-05,-0.00025305043617933375
2025-05-23,99978.63992999999,-4.261892183346112e-06,-0.00025731124988900394
2025-05-26,99984.80362999998,6.165016851905137e-05,-0.00019567694465187006
2025-05-27,99975.80362999998,-9.001367881168286e-05,-0.0002856730098619062
2025-05-28,99962.10362999998,-0.00013703315704967334,-0.00042266702023715423
2025-05-29,99960.65362999999,-1.4505497056805886e-05,-0.0004371663862987421
2025-05-30,99959.95362999999,-7.002755329993231e-06,-0.00044416608025949357
2025-06-02,99961.20362999999,1.2505007801692795e-05,-0.00043166662675809967
2025-06-03,99958.85362999998,-2.3509120685503103e-05,-0.0004551655993407784
2025-06-04,99958.90362999999,5.002058165651493e-07,-0.00045466562120069357
2025-06-05,99961.00362999999,2.100863378593082e-05,-0.0004336665393182936
2025-06-06,99962.95362999999,1.9507607258675638e-05,-0.0004141673918561482
2025-06-09,99964.95362999999,2.0007412019884312e-05,-0.00039416826625391797
