Company,Algorithm,Initial Capital,Final Portfolio Value,Total Return %,Annualized Return %,Sharpe Ratio,Maximum Drawdown %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Total Reward
HLL,Q-Learning,100000.0,94742.56079000006,-5.257439209999939,-3.3701624341275327,-0.41068933946117175,-10.329198457905004,187,42,46,47.72727272727273,-0.049345869268345235
HLL,SARSA,100000.0,94233.54775000007,-5.766452249999929,-3.70003558753651,-0.1381078185120211,-21.26213092186571,218,46,42,52.27272727272727,-0.09565379254163689
HLL,Monte Carlo,100000.0,90812.55269000007,-9.18744730999993,-5.934204020703804,-0.4276221041250354,-18.964017143643314,291,54,70,43.54838709677419,-0.10989139370870674
HLL,Value Iteration,100000.0,87832.28721,-12.167712790000005,-7.905719098198539,-0.40609279567444795,-23.32294381057951,41,0,0,0.0,-0.1231947177891539
HLL,Policy Iteration,100000.0,87832.28721,-12.167712790000005,-7.905719098198539,-0.40609279567444795,-23.32294381057951,41,0,0,0.0,-0.1231947177891539
HLL,Expected SARSA,100000.0,99667.78420000004,-0.33221579999996176,-0.21101294028156303,-1.2177385152687903,-0.3507234608330371,68,17,17,50.0,-0.003325270881622767
HLL,Double Q-Learning,100000.0,99828.8872,-0.17111280000000262,-0.10865339599185342,-1.2341049325990734,-0.17111280000000262,20,3,7,30.0,-0.001711969678821862
HLL,Buy & Hold,100000.0,90405.74970000001,-9.594250299999985,-6.191478779879245,-0.20650610586861104,-24.868591679912846,1,0,0,0.0,-0.06697909531249667
ICBK,Q-Learning,100000.0,101289.22830000002,1.289228300000017,0.8164642569680192,0.8296892033401574,-0.961716047561477,92,33,13,71.73913043478261,0.012887757513552369
ICBK,SARSA,100000.0,102399.55715000007,2.399557150000066,1.5165946664329022,0.3515201256053552,-5.567778433483454,288,88,56,61.111111111111114,0.02539387537043043
ICBK,Monte Carlo,100000.0,109265.16180000005,9.265161800000046,5.785835939862882,0.4282487035297145,-18.86880750896938,92,8,0,100.0,-0.06027871872565851
ICBK,Value Iteration,100000.0,108276.3796,8.2763796,5.177152463259227,0.5956578772519971,-9.1960705824435,85,8,1,88.88888888888889,0.08626180962861453
ICBK,Policy Iteration,100000.0,108276.3796,8.2763796,5.177152463259227,0.5956578772519971,-9.1960705824435,85,8,1,88.88888888888889,0.08626180962861453
ICBK,Expected SARSA,100000.0,99867.69755000008,-0.13230244999991556,-0.08400359658273793,-0.06912584580117613,-1.1090347805688814,264,80,52,60.60606060606061,-0.0012231436672269723
ICBK,Double Q-Learning,100000.0,99738.37520000008,-0.2616247999999178,-0.1661543098631979,-1.1515816154517622,-0.3995456212429643,309,79,75,51.298701298701296,-0.0026180021725303267
ICBK,Buy & Hold,100000.0,111585.90895000001,11.585908950000013,7.193665715004927,0.4748035426807142,-18.816965357605785,1,0,0,0.0,0.13592237040812505
INFY,Q-Learning,100000.0,80170.34659999993,-19.82965340000007,-13.090029016605854,-1.7099258448410508,-21.172965562116445,272,19,117,13.970588235294118,-0.21575666919992179
INFY,SARSA,100000.0,90049.22660000002,-9.950773399999976,-6.436881735729494,-1.612201643396539,-11.307472017487976,321,46,110,29.48717948717949,-0.10346077962399874
INFY,Monte Carlo,100000.0,98267.80930000004,-1.732190699999963,-1.103070298553055,-0.348649175853062,-3.848739873961192,297,74,74,50.0,-0.016733454713416977
INFY,Value Iteration,100000.0,87196.49339999998,-12.803506600000022,-8.329455110952555,-0.6824725241614024,-22.04412079330461,99,5,17,22.727272727272727,-0.12601191521100236
INFY,Policy Iteration,100000.0,87196.49339999998,-12.803506600000022,-8.329455110952555,-0.6824725241614024,-22.04412079330461,99,5,17,22.727272727272727,-0.12601191521100236
INFY,Expected SARSA,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
INFY,Double Q-Learning,100000.0,99781.45705000007,-0.21854294999993,-0.1387826821031557,-1.1686674436394575,-0.21854294999993,56,14,14,50.0,-0.00218668620737434
INFY,Buy & Hold,100000.0,60023.027500000004,-39.976972499999995,-27.63570059852639,-0.9963893798952521,-49.846144103278846,1,0,0,0.0,-0.44570251050815873
INGL,Q-Learning,100000.0,109255.45720000009,9.255457200000091,5.779871694352212,0.38989573639952113,-20.188406203919197,323,106,51,67.51592356687898,0.09295644658243006
INGL,SARSA,100000.0,98369.00270000007,-1.63099729999993,-1.0384353948755476,-0.1060530912155804,-7.675491204780305,186,47,38,55.294117647058826,-0.015172825145816622
INGL,Monte Carlo,100000.0,110192.68845000002,10.192688450000016,6.354985081382192,0.3657728021305521,-34.28665739922312,147,40,28,58.82352941176471,-0.058782930757414364
INGL,Value Iteration,100000.0,111618.37425,11.618374249999993,7.226415351970972,0.3874198107187236,-35.113002316525,21,0,0,0.0,0.1224457504345085
INGL,Policy Iteration,100000.0,111618.37425,11.618374249999993,7.226415351970972,0.3874198107187236,-35.113002316525,21,0,0,0.0,0.1224457504345085
INGL,Expected SARSA,100000.0,99086.47055000006,-0.9135294499999437,-0.5808640185033243,-0.38262895143246084,-1.451000262244981,138,31,38,44.927536231884055,-0.008998940544105237
INGL,Double Q-Learning,100000.0,99123.17099999999,-0.8768290000000125,-0.5574905768993665,-1.511515170681835,-1.0582642100660575,72,17,19,47.22222222222222,-0.00879594124999048
INGL,Buy & Hold,100000.0,111984.79030000001,11.984790300000007,7.436321082087516,0.3894000545546295,-35.01601726871291,1,0,0,0.0,0.1884162937382741
ITC,Q-Learning,100000.0,89380.79968000004,-10.61920031999996,-6.878344348063303,-1.7070104708483913,-11.419873990932157,143,0,31,0.0,-0.11087747151703861
ITC,SARSA,100000.0,99656.15528,-0.3438447199999937,-0.21840391075297338,-1.3311423539559115,-0.34884649780314514,239,49,70,41.17647058823529,-0.0034422023246875925
ITC,Monte Carlo,100000.0,99393.50287999996,-0.6064971200000436,-0.38542139207122794,-1.066884117073313,-0.6967173382639065,237,44,70,38.59649122807017,-0.006072949446771912
ITC,Value Iteration,100000.0,85981.48173,-14.01851827,-9.142373539806158,-1.6408284499520638,-15.214014119070024,151,0,20,0.0,-0.14835280694909989
ITC,Policy Iteration,100000.0,85981.48173,-14.01851827,-9.142373539806158,-1.6408284499520638,-15.214014119070024,151,0,20,0.0,-0.14835280694909989
ITC,Expected SARSA,100000.0,99758.93688000001,-0.24106311999999164,-0.1530901110967764,-2.4966457926864356,-0.24606939140323364,243,49,72,40.49586776859504,-0.0024132329012670857
ITC,Double Q-Learning,100000.0,99894.92082999997,-0.10507917000002637,-0.06671523488547271,-1.47889929754068,-0.11275648355924604,146,32,41,43.83561643835616,-0.0010511799283763382
ITC,Buy & Hold,100000.0,61353.435240000006,-38.64656476,-26.62339289303889,-1.5619371692746116,-40.402707556366124,1,0,0,0.0,-0.46000988917901997
JIOF,Q-Learning,100000.0,99793.17661,-0.20682339000000502,-0.13133752225115147,-0.5876954709321727,-0.3253481494289404,259,70,59,54.263565891472865,-0.002066386692466157
JIOF,SARSA,100000.0,96612.63107000009,-3.3873689299999095,-2.163752724664003,-0.20558254959731218,-12.227305502646388,234,8,11,42.10526315789473,-0.028341537305382615
JIOF,Monte Carlo,100000.0,97589.83639000011,-2.410163609999887,-1.5367383455787365,-0.4107520757202819,-6.0459736821578,182,22,28,44.0,-0.023354595521527736
JIOF,Value Iteration,100000.0,105767.00604999991,5.767006049999909,3.6232216569547004,1.2924483437800423,-1.734922655348674,266,85,26,76.57657657657657,0.056691620805273624
JIOF,Policy Iteration,100000.0,105767.00604999991,5.767006049999909,3.6232216569547004,1.2924483437800423,-1.734922655348674,266,85,26,76.57657657657657,0.056691620805273624
JIOF,Expected SARSA,100000.0,101239.37390999994,1.2393739099999366,0.7849624353742035,0.9430045478344873,-1.0054648399390569,141,37,31,54.41176470588235,0.012373210846017292
JIOF,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
JIOF,Buy & Hold,100000.0,84159.4204,-15.840579599999996,-10.352318936203552,-0.20394792241775908,-34.635612556599625,1,0,0,0.0,-0.09810885778422516
JSTL,Q-Learning,100000.0,102485.64239999997,2.4856423999999677,1.5707605805650005,0.9228890224063955,-1.0116757081744112,377,128,60,68.08510638297872,0.024785461441348758
JSTL,SARSA,100000.0,101732.87074999997,1.7328707499999727,1.096542588173266,0.9147329612408671,-0.7737712755571686,359,113,63,64.20454545454545,0.017295791844428334
JSTL,Monte Carlo,100000.0,128278.19454999997,28.27819454999997,17.126061848899777,0.9035225021980618,-13.350757931537279,205,50,2,96.15384615384616,0.1041164752174396
JSTL,Value Iteration,100000.0,108841.62215000004,8.841622150000038,5.525356921384028,1.2153780721147638,-1.7311282182490604,336,132,22,85.71428571428571,0.08635706747524419
JSTL,Policy Iteration,100000.0,108841.62215000004,8.841622150000038,5.525356921384028,1.2153780721147638,-1.7311282182490604,336,132,22,85.71428571428571,0.08635706747524419
JSTL,Expected SARSA,100000.0,117284.58149999996,17.284581499999955,10.650386035285253,0.6758742171845137,-13.12839730165201,288,85,13,86.73469387755102,0.09422730945868583
JSTL,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
JSTL,Buy & Hold,100000.0,140000.9005,40.000900499999986,23.765689311777226,1.0148649211795446,-13.324653253260315,1,0,0,0.0,0.3823493208245617
KTKMc1_NS,Q-Learning,100000.0,100255.40639999999,0.2554063999999926,0.1620520132633585,0.18567220327291234,-1.0736831281063277,58,18,11,62.06896551724138,0.0026148308172820544
KTKMc1_NS,SARSA,100000.0,19551.65455000008,-80.44834544999992,-64.51411647504288,-0.7520206177095469,-84.24040819175515,182,32,36,47.05882352941176,-0.9546785034888615
KTKMc1_NS,Monte Carlo,100000.0,103785.60684999987,3.785606849999865,2.3867054903906615,0.5530772792416347,-3.7282712558807884,317,90,52,63.38028169014085,0.038737065161224195
KTKMc1_NS,Value Iteration,100000.0,20175.98854999998,-79.82401145000001,-63.79894432928814,-0.774867012109691,-83.43410002087208,75,12,0,100.0,-0.8662330116538617
KTKMc1_NS,Policy Iteration,100000.0,20175.98854999998,-79.82401145000001,-63.79894432928814,-0.774867012109691,-83.43410002087208,75,12,0,100.0,-0.8662330116538617
KTKMc1_NS,Expected SARSA,100000.0,100442.95580000004,0.44295580000003976,0.2809536553146197,0.37132870177403776,-0.8131155699247352,102,35,16,68.62745098039215,0.004466421076665773
KTKMc1_NS,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
KTKMc1_NS,Buy & Hold,100000.0,22535.36825000003,-77.46463174999997,-61.10238998834643,-0.6266390409359979,-83.71306551907945,1,0,0,0.0,-0.6584554769920341
LART,Q-Learning,100000.0,111345.38210000008,11.345382100000077,7.059868890480958,0.7624720694759839,-9.936774244301583,184,65,27,70.65217391304348,0.0907639485514275
LART,SARSA,100000.0,106275.7852000001,6.2757852000001,3.939362333969343,0.4807379553930162,-7.303229457005847,379,106,83,56.08465608465608,0.06710731282984632
LART,Monte Carlo,100000.0,102986.4760500002,2.9864760500002014,1.885562467382651,0.19539799900776636,-23.91103963451015,292,72,63,53.333333333333336,0.0017093927518172809
LART,Value Iteration,100000.0,119093.67565000002,19.09367565000002,11.730778948156239,0.600806320341022,-24.17852582831237,30,0,0,0.0,0.10271011768013763
LART,Policy Iteration,100000.0,119093.67565000002,19.09367565000002,11.730778948156239,0.600806320341022,-24.17852582831237,30,0,0,0.0,0.10271011768013763
LART,Expected SARSA,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
LART,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
LART,Buy & Hold,100000.0,107228.77750000001,7.228777500000011,4.522001164007894,0.3045996754570685,-24.169578252763742,1,0,0,0.0,0.11826102521229334
MAHM,Q-Learning,100000.0,101781.91445000007,1.7819144500000692,1.1274772252413578,0.15230293613334875,-14.343448294049226,287,76,65,53.90070921985816,-0.0032019526699192495
MAHM,SARSA,100000.0,95219.17435000004,-4.780825649999955,-3.061872521546616,-0.6852931374178597,-8.638743777865976,312,52,97,34.899328859060404,-0.04744078844260938
MAHM,Monte Carlo,100000.0,112251.29195000001,12.251291950000013,7.611973234394287,0.4110534064369471,-23.400974704999,61,12,2,85.71428571428571,-0.019053020687850857
MAHM,Value Iteration,100000.0,113134.23265,13.134232650000005,8.148515303211212,0.42742222392795065,-22.736227444271588,33,0,0,0.0,0.012576822887976253
MAHM,Policy Iteration,100000.0,113134.23265,13.134232650000005,8.148515303211212,0.42742222392795065,-22.736227444271588,33,0,0,0.0,0.012576822887976253
MAHM,Expected SARSA,100000.0,99957.49325000004,-0.04250674999995681,-0.026984640470151255,-0.03825297347740395,-1.0453510972358444,137,33,35,48.529411764705884,-0.000391417511026613
MAHM,Double Q-Learning,100000.0,99846.04560000007,-0.15395439999992958,-0.09775506947461432,-0.23229058754949541,-0.42947165145087807,104,25,27,48.07692307692308,-0.0015268050505726062
MAHM,Buy & Hold,100000.0,110029.376,10.029376000000005,6.243709182428314,0.35869352942272414,-22.67641564284893,1,0,0,0.0,0.15777341712334086
MAXE,Q-Learning,100000.0,100207.04320000003,0.20704320000002915,0.13137777943550422,0.13079525198973563,-28.357236483142735,91,0,0,0.0,-0.16894875972833456
MAXE,SARSA,100000.0,91460.07875,-8.539921249999999,-5.5089933998732405,-0.16453982804715178,-27.379564081807484,171,14,30,31.818181818181817,-0.19826506663240004
MAXE,Monte Carlo,100000.0,105921.75890000006,5.921758900000059,3.719439270382918,0.5591294202078303,-6.224986018628478,121,37,2,94.87179487179486,0.06141843611778014
MAXE,Value Iteration,100000.0,101237.60070000002,1.2376007000000246,0.7838418811730197,0.15713605695506502,-28.375769836922643,104,3,3,50.0,-0.225578262530057
MAXE,Policy Iteration,100000.0,101237.60070000002,1.2376007000000246,0.7838418811730197,0.15713605695506502,-28.375769836922643,104,3,3,50.0,-0.225578262530057
MAXE,Expected SARSA,100000.0,99632.54394999993,-0.3674560500000662,-0.23341148776715448,-1.2051784721092893,-0.5576387100289184,132,32,34,48.484848484848484,-0.0036783090384323266
