Company,Best Return Algorithm,Best Return %,Best Sharpe Algorithm,Best Sharpe Ratio
ADELc1_NS,Q-Learning,30.05140475000009,SARSA,1.0833403228257816
APLH,Monte Carlo,28.545794550000004,SARSA,1.0238270052419032
APSEc1_NS,Monte Carlo,36.54534620000009,SARSA,1.4701745823749326
ASPN,Monte Carlo,21.556254300000045,Monte Carlo,0.7005389801139746
AXBK,Monte Carlo,13.408001600000032,Value Iteration,0.7022093449374631
BAJAc1_NS,Value Iteration,20.208714500000106,Value Iteration,0.9448525621928876
BAJE,Monte Carlo,2.9414379300000726,SARSA,0.952905560282911
BJFN,Value Iteration,7.035132960000104,Value Iteration,0.6044805979206604
BJFS,Value Iteration,6.7319354500000195,Q-Learning,0.5110305127804056
BRTI,Monte Carlo,19.39312195,Expected SARSA,0.9471417942566475
CIPL,SARSA,1.0623998000000283,SARSA,0.1287225173092366
COAL,Q-Learning,3.7528935999999375,Q-Learning,0.2344733270553146
EICH,Q-Learning,51.776687150000015,Value Iteration,1.6612236361642003
ETEA,Monte Carlo,10.857425319999937,Monte Carlo,0.5662578198220497
GRAS,Monte Carlo,18.964879400000008,Monte Carlo,0.7784563684687906
HALC,Monte Carlo,46.57085644999993,Monte Carlo,1.2178841204111783
HCLT,Double Q-Learning,0.0,Double Q-Learning,0.0
HDBKc1_NS,Expected SARSA,0.0,Expected SARSA,0.0
HDFLc1_NS,Expected SARSA,0.0,Expected SARSA,0.0
HLL,Double Q-Learning,-0.17111280000000262,SARSA,-0.1381078185120211
ICBK,Monte Carlo,9.265161800000046,Q-Learning,0.8296892033401574
INFY,Expected SARSA,0.0,Expected SARSA,0.0
INGL,Value Iteration,11.618374249999993,Q-Learning,0.38989573639952113
ITC,Double Q-Learning,-0.10507917000002637,Monte Carlo,-1.066884117073313
JIOF,Value Iteration,5.767006049999909,Value Iteration,1.2924483437800423
JSTL,Monte Carlo,28.27819454999997,Value Iteration,1.2153780721147638
KTKMc1_NS,Monte Carlo,3.785606849999865,Monte Carlo,0.5530772792416347
LART,Value Iteration,19.09367565000002,Q-Learning,0.7624720694759839
MAHM,Value Iteration,13.134232650000005,Value Iteration,0.42742222392795065
MAXE,Monte Carlo,5.921758900000059,Double Q-Learning,0.7772132516544914
MRTI,SARSA,21.822928850000096,SARSA,0.7959200770649472
NEST,Monte Carlo,30.297571399999985,Value Iteration,1.1959644754744403
NTPCc1_NS,Monte Carlo,0.7523402499999211,Expected SARSA,0.3638139880048183
ONGC,Expected SARSA,-0.013041309999956867,Q-Learning,0.002129108980884517
PGRDc1_NS,Double Q-Learning,0.0,Value Iteration,0.00207152816412868
REDY,Double Q-Learning,0.0,Double Q-Learning,0.0
RELI,Double Q-Learning,5.150658750000017,Double Q-Learning,1.340698390790761
SBIc1_NS,Value Iteration,18.10699010000004,Value Iteration,0.6972121161066775
SHMF,Monte Carlo,35.64789286999998,Expected SARSA,1.4086636729000972
SUN,Monte Carlo,16.15940355000006,Monte Carlo,0.8759603890165159
TACN,Monte Carlo,4.181859050000028,Monte Carlo,0.23262068018175278
TAMO,Q-Learning,0.0,Q-Learning,0.0
TAMOc1_NS,Expected SARSA,-0.01614694999999483,Expected SARSA,-0.06266429782412909
TCSc1_NS,Expected SARSA,-0.34036270000001245,Value Iteration,-0.08974483707795962
TEML,Value Iteration,9.169992900000013,Value Iteration,1.2238902828822718
TISC,Monte Carlo,6.757659719999996,Q-Learning,0.9323385172271519
TITN,Monte Carlo,48.18642905000001,Monte Carlo,1.2905250590342983
TREN,Double Q-Learning,-5.801042540000024,SARSA,-0.24852757046725757
ULTC,Monte Carlo,5.105651600000085,Expected SARSA,1.2343009374276053
WIPR,Double Q-Learning,-0.018635490000000574,Monte Carlo,-1.1062987752059155
