Company,Episode,Total_Reward,Final_Portfolio_Value,Number_of_Trades,Epsilon
RELI,1,-0.026767804036224162,101729.16802000014,1554,0.995
RELI,2,0.3578818476825095,139816.78854000004,1639,0.990025
RELI,3,0.08460134604006082,111830.49623999996,1595,0.985074875
RELI,4,0.27930100721476087,133011.32954999997,1627,0.9801495006250001
RELI,5,0.16749479548367288,119611.88129999994,1553,0.9752487531218751
RELI,6,-0.045156468160945776,103711.73877000011,1571,0.9703725093562657
RELI,7,0.1143311451880979,114080.57200000009,1624,0.9655206468094844
RELI,8,0.16462425375099163,120801.12964000009,1580,0.960693043575437
RELI,9,0.25347388518212327,127991.16051999998,1601,0.9558895783575597
RELI,10,0.4001014485403888,144151.0436399999,1608,0.9511101304657719
RELI,11,0.17996415489353562,124013.79375000007,1618,0.946354579813443
RELI,12,0.06611459201203466,111300.84224000009,1587,0.9416228069143757
RELI,13,-0.04146830739859935,107425.55077000029,1519,0.9369146928798039
RELI,14,0.22183267352773398,125376.56314000003,1599,0.9322301194154049
RELI,15,0.006975080464073827,109319.65658000001,1566,0.9275689688183278
RELI,16,-0.02116992931622995,107797.63777000015,1543,0.9229311239742362
RELI,17,-0.15456000649737472,102250.92202999999,1487,0.918316468354365
RELI,18,-0.026536346917213693,100064.03116999993,1595,0.9137248860125932
RELI,19,0.017108069464179382,105504.10762000016,1566,0.9091562615825302
RELI,20,-0.056085446331664665,103277.06696000007,1555,0.9046104802746175
