Algorithm,Average Return %,Average Annualized Return %,Average Sharpe Ratio,Average Maximum Drawdown %,Average Win Rate %,Average Trades,Companies Beaten By Algorithm
Q-Learning,1.615295578600027,0.840737457193662,-0.028196240897349078,-9.267167245552143,49.781412618097065,183.3,21
SARSA,-0.9259074303999723,-0.998626723312419,0.005024164388577512,-12.401374339409676,51.3757561037043,252.4,16
Monte Carlo,5.304564296800027,2.949358752755832,0.17871177746779213,-17.183530442941336,49.00928448025381,204.44,24
Value Iteration,4.121156947400011,2.156297736294329,0.21505155639433962,-14.380465241735703,47.80954321319291,130.88,21
Policy Iteration,4.097290021400009,2.141261347149519,0.21235986779963828,-14.488953713761518,48.16812907177876,128.6,21
Expected SARSA,1.2045452886000072,0.7320188225391601,-0.26199972191228477,-2.199787961845388,44.31433507529924,139.52,18
Double Q-Learning,-0.04125323639998943,-0.028442325579783434,-0.3514683884645437,-0.48889503793570704,28.97585039650794,62.18,18
Buy & Hold,6.420627889000011,2.696564532967417,0.2372017030849707,-28.667728388910618,0.0,1.0,0
