Company,Episode,Total_Reward,Final_Portfolio_Value,Number_of_Trades,Epsilon
RELI,1,-0.026767804036224162,101729.16802000014,1554,0.995
RELI,2,0.36119485773124826,140157.88236000002,1637,0.990025
RELI,3,0.12319711708969122,114477.75330000005,1613,0.985074875
RELI,4,0.29768528560981844,133857.13807999995,1623,0.9801495006250001
RELI,5,0.2206861269390655,125785.60602000028,1545,0.9752487531218751
RELI,6,-0.026933719787287,104550.56519999992,1578,0.9703725093562657
RELI,7,0.1799916614309006,120106.72044000015,1619,0.9655206468094844
RELI,8,0.21373795739264945,124992.30762000027,1565,0.960693043575437
RELI,9,0.317181828337357,134911.1954199998,1620,0.9558895783575597
RELI,10,0.3452319768031467,138410.4109400002,1583,0.9511101304657719
RELI,11,0.17541217706361967,124281.04402000007,1593,0.946354579813443
RELI,12,0.1599301962124768,118246.10242999997,1594,0.9416228069143757
RELI,13,0.18815477302219796,121876.28745000009,1610,0.9369146928798039
RELI,14,0.6441235958108359,176578.36736000018,1614,0.9322301194154049
RELI,15,0.20238677822670986,122225.09757000007,1643,0.9275689688183278
RELI,16,0.14860564345485558,115558.89098999996,1621,0.9229311239742362
RELI,17,0.25897732056166745,128631.6210300001,1657,0.918316468354365
RELI,18,0.48068541342294874,151128.17518000014,1608,0.9137248860125932
RELI,19,0.47728466233423616,151122.88335000008,1558,0.9091562615825302
RELI,20,0.4831626918003956,154894.03486000013,1566,0.9046104802746175
