Algorithm,Companies Tested,Average Return %,Median Return %,Average Sharpe Ratio,Median Sharpe Ratio,Average Maximum Drawdown %,Median Maximum Drawdown %,Average Win Rate %,"Companies Beaten (Buy & Hold, Return)","Companies Beaten (Buy & Hold, Return) - Out Of"
Q-Learning,50,1.615295578600027,0.2312248000000109,-0.028196240897349078,0.1415490940615422,-9.267167245552143,-5.555247336830178,49.781412618097065,21,50
SARSA,50,-0.9259074303999723,0.06096552500004327,0.005024164388577512,0.09207848629321405,-12.401374339409676,-7.662595623661487,51.3757561037043,16,50
Monte Carlo,50,5.304564296800027,3.5346369250000205,0.17871177746779213,0.2691071063581463,-17.183530442941336,-16.246193000234538,49.00928448025381,24,50
Value Iteration,50,4.121156947400011,4.452324274999999,0.21505155639433962,0.34298955993652336,-14.380465241735703,-10.16082521777301,47.80954321319291,21,50
Policy Iteration,50,4.097290021400009,4.452324274999999,0.21235986779963828,0.34298955993652336,-14.488953713761518,-11.11075347515423,48.16812907177876,21,50
Expected SARSA,50,1.2045452886000072,-0.037036274999976734,-0.26199972191228477,-0.13324502479441205,-2.199787961845388,-0.631701788278703,44.31433507529924,18,50
Double Q-Learning,50,-0.04125323639998943,-0.0014318700000076204,-0.3514683884645437,-0.053205463852993275,-0.48889503793570704,-0.04822565499998745,28.97585039650794,18,50
Buy & Hold,50,6.420627889000011,8.248455500000011,0.2372017030849707,0.32423184249011805,-28.667728388910618,-22.96752530228049,0.0,0,50
