Company,Iteration,Max_Value_Change,Converged
APLH,14,1.9392273166435455e-05,False
APLH,15,1.8196577312175007e-05,False
APLH,16,1.7115634241686353e-05,False
APLH,17,1.6129402240073966e-05,False
APLH,18,1.5222832939301907e-05,False
APLH,19,1.4384427329748508e-05,False
APLH,20,1.3605246411787543e-05,False
APLH,21,1.2878223244537352e-05,False
APLH,22,1.2197678024893858e-05,False
APLH,23,1.155897195840379e-05,False
APLH,24,1.0958257297545722e-05,False
APLH,25,1.039229484606349e-05,False
APLH,26,9.858319339612546e-06,False
APLH,27,9.353939163771847e-06,False
APLH,28,8.877060943430657e-06,False
APLH,29,8.425832313810919e-06,False
APLH,30,7.998598097965631e-06,False
APLH,31,7.593866450358367e-06,False
APLH,32,7.210282466182504e-06,False
APLH,33,6.846607424457977e-06,False
APLH,34,6.501702312427301e-06,False
APLH,35,6.174514625635792e-06,False
APLH,36,5.8640676909791885e-06,False
APLH,37,5.569451945754557e-06,False
APLH,38,5.289817743125611e-06,False
APLH,39,5.024369356669881e-06,False
APLH,40,4.77235993324662e-06,False
APLH,41,4.533087201092842e-06,False
APLH,42,4.3058897837055035e-06,False
APLH,43,4.090144003283361e-06,False
APLH,44,3.885261082891981e-06,False
APLH,45,3.6906846759979586e-06,False
APLH,46,3.5058886670512974e-06,False
APLH,47,3.3303751984203574e-06,False
APLH,48,3.1636728880263688e-06,False
APLH,49,3.0053352090676864e-06,False
APLH,50,2.854939008752424e-06,False
APLH,51,2.7120831472883e-06,False
APLH,52,2.576387241807641e-06,False
APLH,53,2.4474905026121993e-06,False
APLH,54,2.325050651281308e-06,False
APLH,55,2.208742911909687e-06,False
APLH,56,2.0982590681171845e-06,False
APLH,57,1.9933065795968256e-06,False
APLH,58,1.8936077528593134e-06,False
APLH,59,1.7988989615726203e-06,False
APLH,60,1.7089299124985712e-06,False
APLH,61,1.6234629535197796e-06,False
APLH,62,1.5422724206669639e-06,False
APLH,63,1.4651440213950435e-06,False
APLH,64,1.391874251650783e-06,False
APLH,65,1.3222698445139198e-06,False
APLH,66,1.2561472484079548e-06,False
APLH,67,1.193332133049064e-06,False
APLH,68,1.1336589214633493e-06,False
APLH,69,1.076970346534597e-06,False
APLH,70,1.023117030662891e-06,False
APLH,71,9.719570872221937e-07,True
APSEc1_NS,1,6.39503928916801e-05,False
APSEc1_NS,2,4.698759856437263e-05,False
APSEc1_NS,3,3.628793023289668e-05,False
APSEc1_NS,4,2.9083491187904592e-05,False
APSEc1_NS,5,2.3971384691341653e-05,False
APSEc1_NS,6,2.0174846777135525e-05,False
APSEc1_NS,7,1.725378711104757e-05,False
APSEc1_NS,8,1.4945483846647332e-05,False
APSEc1_NS,9,1.3084044869441237e-05,False
APSEc1_NS,10,1.1558993906811833e-05,False
APSEc1_NS,11,1.029328947359942e-05,False
APSEc1_NS,12,9.231173731768833e-06,False
APSEc1_NS,13,8.331125598018028e-06,False
APSEc1_NS,14,7.5615569721672305e-06,False
APSEc1_NS,15,6.898046900100259e-06,False
APSEc1_NS,16,6.321480551901436e-06,False
APSEc1_NS,17,5.816747995823605e-06,False
APSEc1_NS,18,5.371806358457545e-06,False
APSEc1_NS,19,4.9769880619606605e-06,False
APSEc1_NS,20,4.624481595419524e-06,False
APSEc1_NS,21,4.307936596874436e-06,False
APSEc1_NS,22,4.022160379744814e-06,False
APSEc1_NS,23,3.7628827921846585e-06,False
APSEc1_NS,24,3.526572757265071e-06,False
APSEc1_NS,25,3.310294271492123e-06,False
APSEc1_NS,26,3.111592762985809e-06,False
APSEc1_NS,27,2.928404961768298e-06,False
APSEc1_NS,28,2.7589870837773484e-06,False
APSEc1_NS,29,2.601857353773992e-06,False
APSEc1_NS,30,2.455749809072527e-06,False
APSEc1_NS,31,2.319577018415392e-06,False
APSEc1_NS,32,2.192399876746931e-06,False
APSEc1_NS,33,2.0734030392094882e-06,False
APSEc1_NS,34,1.961874867158458e-06,False
APSEc1_NS,35,1.8571909980367963e-06,False
APSEc1_NS,36,1.7588008364408689e-06,False
APSEc1_NS,37,1.666216408271234e-06,False
APSEc1_NS,38,1.5790031329949278e-06,False
APSEc1_NS,39,1.4967721579496954e-06,False
APSEc1_NS,40,1.4191739687518471e-06,False
APSEc1_NS,41,1.345893045410064e-06,False
APSEc1_NS,42,1.2766433778908185e-06,False
APSEc1_NS,43,1.2111646900987293e-06,False
APSEc1_NS,44,1.1492192494189524e-06,False
APSEc1_NS,45,1.0905891616108058e-06,False
APSEc1_NS,46,1.0350740690801127e-06,False
APSEc1_NS,47,9.824891853007318e-07,True
ASPN,1,3.3840200555347796e-05,False
ASPN,2,2.6626600181667534e-05,False
ASPN,3,2.2094848394637084e-05,False
ASPN,4,1.897834746252836e-05,False
ASPN,5,1.6661546234474978e-05,False
ASPN,6,1.4833612553717858e-05,False
ASPN,7,1.33287750023467e-05,False
ASPN,8,1.2054581637018893e-05,False
ASPN,9,1.0956019877217691e-05,False
ASPN,10,9.997719206036366e-06,False
ASPN,11,9.155070028675732e-06,False
ASPN,12,8.40973552435531e-06,False
ASPN,13,7.747329323612738e-06,False
ASPN,14,7.156164928431234e-06,False
ASPN,15,6.6265405929829765e-06,False
ASPN,16,6.1502971418739185e-06,False
ASPN,17,5.720520079137409e-06,False
ASPN,18,5.3313225569885994e-06,False
ASPN,19,4.9776774273843465e-06,False
ASPN,20,4.655281931196273e-06,False
ASPN,21,4.3604460203145595e-06,False
ASPN,22,4.089998957910161e-06,False
ASPN,23,3.8412106821530175e-06,False
ASPN,24,3.611725397657025e-06,False
ASPN,25,3.399505426665377e-06,False
ASPN,26,3.20278371943611e-06,False
ASPN,27,3.0200236882387704e-06,False
ASPN,28,2.849885236892903e-06,False
ASPN,29,2.6911960287392804e-06,False
ASPN,30,2.5429271804322745e-06,False
ASPN,31,2.4041726922961314e-06,False
ASPN,32,2.2741320315527633e-06,False
ASPN,33,2.1520953749068136e-06,False
ASPN,34,2.037431093828584e-06,False
ASPN,35,1.9295751311588583e-06,False
ASPN,36,1.8280219729712366e-06,False
ASPN,37,1.7323169663893906e-06,False
ASPN,38,1.6420497735049745e-06,False
ASPN,39,1.5568487847916887e-06,False
ASPN,40,1.4763763433877524e-06,False
ASPN,41,1.4003246551573924e-06,False
ASPN,42,1.3284122792279942e-06,False
ASPN,43,1.2603811103270514e-06,False
