Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,Volatility,Trend,RSI_Condition,Volatility_Condition
2015-11-11,887.0,935.1,880.0,923.35,3320000.0,,,,,,,
2015-11-13,918.0,1032.0,917.0,1004.1,8450000.0,,,,,,,
2015-11-16,1011.0,1040.0,966.25,988.95,3360000.0,,,,,,,
2015-11-17,990.0,1049.9,976.2,1036.9,3690000.0,,,,,,,
2015-11-18,1017.25,1068.8,1015.3,1045.65,3620000.0,999.7900000000002,,,,,,
2015-11-19,1055.0,1166.7,1052.0,1143.8,4320000.0,1043.88,,,,,,
2015-11-20,1156.0,1162.9,1088.2,1105.4,3640000.0,1064.1399999999999,,,,,,
2015-11-23,1100.0,1124.8,1031.2,1046.85,2120000.0,1075.72,,,,,,
2015-11-24,1049.95,1099.0,1032.35,1089.8,2080000.0,1086.3,,,,,,
2015-11-26,1100.0,1114.0,1062.1,1088.2,1280000.0,1094.81,,,,,,
2015-11-27,1093.3,1109.8,1071.55,1090.5,830210.0,1084.15,,,,,,
2015-11-30,1093.8,1122.0,1081.55,1110.45,953970.0,1085.16,,,,,,
2015-12-01,1112.95,1115.0,1085.75,1093.25,566180.0,1094.44,,,,,,
2015-12-02,1092.0,1124.9,1062.0,1099.2,1820000.0,1096.32,,,,,,
2015-12-03,1096.0,1144.45,1091.0,1113.7,2010000.0,1101.42,,71.0494304987283,,,RSI_HIGH,
2015-12-04,1103.0,1122.0,1071.7,1079.7,738820.0,1099.26,,59.32412432165763,,,RSI_NORMAL,
2015-12-07,1050.0,1085.5,1032.2,1044.55,1980000.0,1086.08,,56.53502585801597,,,RSI_NORMAL,
2015-12-08,1050.7,1068.4,1010.0,1018.1,1220000.0,1071.05,,47.67269126021291,,,RSI_NORMAL,
2015-12-09,1021.0,1047.8,995.45,1012.75,1040000.0,1053.76,,45.89263420724093,,,RSI_NORMAL,
2015-12-10,1021.95,1029.0,982.0,999.85,1520000.0,1030.9900000000002,1056.7525,27.168913560666155,,BEARISH,RSI_LOW,
2015-12-11,1014.0,1043.7,1005.0,1035.0,1850000.0,1022.05,1062.335,38.717948717948715,0.03889434862281409,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-14,1033.0,1103.9,1025.8,1093.05,1880000.0,1031.75,1066.7825,57.415730337078664,0.03597815098681631,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-15,1094.8,1196.9,1085.0,1185.45,3010000.0,1065.2199999999998,1076.6074999999998,63.24975758415294,0.03976823931237524,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-16,1192.0,1234.0,1182.55,1192.7,2240000.0,1101.2099999999998,1084.3975,64.25259138025095,0.03871563218162573,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-17,1203.9,1231.75,1180.1,1190.85,1460000.0,1139.41,1091.6575,63.70340024580088,0.0387702548483612,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-18,1194.45,1206.2,1126.0,1139.25,1620000.0,1160.26,1091.4299999999998,53.61990950226244,0.03453914344597302,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-21,1136.1,1156.5,1077.4,1082.0,1690000.0,1158.05,1090.2599999999998,48.7153134635149,0.03558708320935312,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-22,1098.4,1179.4,1097.5,1164.75,2870000.0,1153.91,1096.155,56.368405712620216,0.03726924549660049,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-23,1172.0,1187.95,1140.0,1183.05,1830000.0,1151.98,1100.8175,56.68820522711928,0.036437495036585874,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-24,1185.0,1192.0,1152.0,1164.45,959210.0,1146.7,1104.6299999999999,58.42361594274923,0.03670357102156119,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-28,1170.5,1208.0,1145.6,1194.15,1750000.0,1157.6799999999998,1109.8125,65.03215434083603,0.03701107469586524,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-12-29,1198.0,1207.5,1175.8,1186.45,1050000.0,1178.5700000000002,1113.6125,67.57857366607497,0.03696343647151077,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
