Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,Volatility,Trend,RSI_Condition,Volatility_Condition
2015-01-01,1501.1,1536.07,1501.1,1526.23,291150.0,,,,,,,
2015-01-02,1545.0,1545.01,1501.3,1508.19,399730.0,,,,,,,
2015-01-05,1502.0,1524.6,1502.0,1515.06,353760.0,,,,,,,
2015-01-06,1500.0,1501.5,1464.0,1475.59,481180.0,,,,,,,
2015-01-07,1476.0,1499.97,1471.57,1495.99,318150.0,1504.212,,,,,,
2015-01-08,1496.3,1510.0,1481.1,1487.37,294870.0,1496.44,,,,,,
2015-01-09,1492.55,1498.0,1455.0,1473.87,387420.0,1489.5759999999998,,,,,,
2015-01-12,1465.2,1514.5,1460.03,1485.77,657230.0,1483.718,,,,,,
2015-01-13,1489.99,1494.72,1469.0,1479.91,144320.0,1484.5819999999999,,,,,,
2015-01-14,1476.5,1494.6,1472.01,1483.36,157940.0,1482.056,,,,,,
2015-01-15,1499.0,1526.9,1484.5,1512.72,461690.0,1487.1259999999997,,,,,,
2015-01-16,1512.0,1538.5,1501.1,1534.97,329840.0,1499.346,,,,,,
2015-01-19,1538.0,1559.09,1536.0,1547.46,382660.0,1511.684,,,,,,
2015-01-20,1547.61,1558.18,1540.2,1549.07,367410.0,1525.516,,,,,,
2015-01-21,1551.1,1555.0,1524.0,1537.23,260600.00000000003,1536.29,,52.67431683360886,,,RSI_NORMAL,
2015-01-22,1530.1,1541.12,1524.13,1531.49,140850.0,1540.044,,56.025031030202726,,,RSI_NORMAL,
2015-01-23,1537.2,1542.01,1511.3,1514.6,1040000.0,1535.97,,49.88691120070803,,,RSI_NORMAL,
2015-01-27,1519.0,1613.3,1509.42,1608.92,1340000.0,1548.262,,75.81613290477482,,,RSI_HIGH,
2015-01-28,1616.69,1649.17,1600.0,1634.03,850260.0,1565.2540000000001,,76.24933444892369,,,RSI_HIGH,
2015-01-29,1645.4,1665.02,1630.1,1647.88,615340.0,1587.384,1527.4855,79.92691203341167,,BULLISH,RSI_HIGH,
2015-01-30,1650.1,1664.0,1602.0,1627.59,374570.0,1606.604,1532.5535,77.95315682281057,0.01809190573498738,BULLISH,RSI_HIGH,HIGH_VOLATILITY
2015-02-02,1639.7,1689.5,1637.78,1656.17,508360.0,1634.9180000000001,1539.9524999999999,79.21409957481825,0.017985867782276833,BULLISH,RSI_HIGH,HIGH_VOLATILITY
2015-02-03,1649.5,1671.39,1625.5,1632.36,310210.0,1639.6059999999998,1545.8174999999999,74.62127329694104,0.01849276327040214,BULLISH,RSI_HIGH,HIGH_VOLATILITY
2015-02-04,1637.5,1639.99,1579.24,1591.95,272800.0,1631.19,1551.6354999999999,65.667291877074,0.018384240867950475,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-05,1592.0,1608.27,1576.05,1583.76,291850.0,1618.366,1556.024,60.9164669002397,0.018337759781910743,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-06,1589.8,1598.0,1550.2,1558.78,215600.0,1604.6039999999998,1559.5945,53.62835634390905,0.018722409572381953,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-09,1558.0,1558.0,1506.76,1511.56,265960.0,1575.682,1561.479,45.05291588578987,0.019972808722344932,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
