Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,Volatility,Trend,RSI_Condition,Volatility_Condition
2015-01-01,646.0,647.0,640.8,642.1,378210.0,,,,,,,
2015-01-02,644.0,648.53,643.0,644.28,430070.0,,,,,,,
2015-01-05,644.28,644.28,628.2,629.68,1470000.0,,,,,,,
2015-01-06,626.0,626.0,611.0,613.11,1960000.0,,,,,,,
2015-01-07,615.02,615.61,602.0,607.84,1600000.0,627.402,,,,,,
2015-01-08,612.0,618.81,608.2,613.26,1390000.0,621.634,,,,,,
2015-01-09,619.0,634.0,618.24,632.76,2970000.0,619.3299999999999,,,,,,
2015-01-12,630.6,642.8,625.33,641.45,1670000.0,621.684,,,,,,
2015-01-13,642.0,647.6,638.0,644.67,2450000.0,627.996,,,,,,
2015-01-14,641.0,644.64,638.2,641.65,1660000.0,634.758,,,,,,
2015-01-15,645.32,650.79,640.79,648.11,2220000.0,641.728,,,,,,
2015-01-16,648.4,659.0,646.25,657.16,2110000.0,646.608,,,,,,
2015-01-19,656.0,666.0,653.94,664.78,1240000.0,651.274,,,,,,
2015-01-20,668.4,668.4,658.47,661.24,1490000.0,654.588,,,,,,
2015-01-21,655.5,669.78,650.4,667.17,2160000.0,659.692,,61.285675700009,,,RSI_NORMAL,
2015-01-22,666.02,673.0,666.02,672.25,1230000.0,664.52,,62.27077301044138,,,RSI_NORMAL,
2015-01-23,677.95,677.95,667.0,669.92,2210000.0,667.0719999999999,,69.78367748279257,,,RSI_NORMAL,
2015-01-27,664.97,664.97,639.07,642.48,2060000.0,662.612,,63.04521630985167,,,RSI_NORMAL,
2015-01-28,644.0,649.0,634.42,647.81,1250000.0,659.9259999999999,,67.74394033561218,,,RSI_NORMAL,
2015-01-29,646.8,676.0,642.07,672.66,7010000.0,661.024,645.7189999999999,72.48977737392096,,BULLISH,RSI_HIGH,
2015-01-30,674.0,674.57,640.2,646.65,3160000.0,655.904,645.9465,55.011907339250925,0.020435271056861184,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-02,635.95,636.8,627.02,627.82,1930000.0,647.484,645.1235,45.417255060184246,0.021464649264705364,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-03,620.4,623.8,614.98,617.43,2610000.0,642.4739999999999,644.5110000000001,41.26250962278675,0.021182791396541147,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-04,621.0,625.25,617.0,619.38,1070000.0,636.788,644.8245,42.807312189135075,0.020319561631835185,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-05,617.6,619.0,612.24,614.41,2110000.0,625.138,645.153,39.009913905556985,0.020306192816562325,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-06,615.0,623.4,606.0,608.86,1220000.0,617.58,644.933,33.880656788145785,0.02032219621499595,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-09,606.6,622.59,601.4,619.82,1760000.0,615.9799999999999,644.286,35.322538521807274,0.019393158658178276,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-10,622.21,629.1,615.0,626.1,1690000.0,617.714,643.5185,38.72995509942271,0.019266901127698986,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-11,628.06,636.18,624.79,630.48,1160000.0,619.934,642.809,38.114674441205075,0.0193045972435856,BEARISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-12,639.0,668.63,638.47,666.24,2290000.0,630.3,644.0385,48.37593903691294,0.02317202520338815,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-13,672.0,673.8,664.2,668.79,1060000.0,642.286,645.0725,49.695006747638324,0.0231015113098855,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-16,670.4,680.56,667.63,670.25,749690.0,652.372,645.7270000000001,58.7179004206693,0.02292521186565439,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-18,663.4,675.2,662.42,670.85,1050000.0,661.3219999999999,646.0305,57.45438074284977,0.022795199080647397,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-19,669.41,679.35,662.54,676.58,858420.0,670.542,646.7974999999999,51.44734898833262,0.022813161206330538,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-20,679.6,684.99,674.2,680.78,757390.0,673.45,647.478,65.02068479887333,0.022773240298891252,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-23,680.44,684.8,672.52,677.96,2080000.0,675.284,647.7635,75.68647540983605,0.022752191503312553,BULLISH,RSI_HIGH,HIGH_VOLATILITY
2015-02-24,675.0,682.0,668.08,671.95,1080000.0,675.624,647.865,79.24265179146114,0.022835691094161406,BULLISH,RSI_HIGH,HIGH_VOLATILITY
2015-02-25,675.0,677.01,653.0,655.87,2030000.0,672.628,648.5345,66.99580810433164,0.02149025314522794,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
2015-02-26,650.6,656.6,645.4,650.44,2490000.0,667.4,648.6659999999999,66.70995269455531,0.021523775763587293,BULLISH,RSI_NORMAL,HIGH_VOLATILITY
